,enter_time,leave_time
flow_0_211,1900.0,nan
flow_1_212,1909.0,nan
flow_0_212,1909.0,nan
flow_3_212,1909.0,nan
flow_2_212,1909.0,nan
flow_3_213,1918.0,nan
flow_2_213,1918.0,nan
flow_0_213,1918.0,nan
flow_1_213,1918.0,nan
flow_3_214,1927.0,nan
flow_2_214,1927.0,nan
flow_0_214,1927.0,nan
flow_1_214,1927.0,nan
flow_0_215,1936.0,nan
flow_2_215,1936.0,nan
flow_3_215,1936.0,nan
flow_1_215,1936.0,nan
flow_0_216,1945.0,nan
flow_3_216,1945.0,nan
flow_1_216,1945.0,nan
flow_2_216,1945.0,nan
flow_3_217,1954.0,nan
flow_1_217,1954.0,nan
flow_0_217,1954.0,nan
flow_2_217,1954.0,nan
flow_3_218,1963.0,nan
flow_0_218,1963.0,nan
flow_2_218,1963.0,nan
flow_1_218,1963.0,nan
flow_2_219,1972.0,nan
flow_1_219,1972.0,nan
flow_0_219,1972.0,nan
flow_3_219,1972.0,nan
flow_1_220,1981.0,nan
flow_3_220,1981.0,nan
flow_0_220,1981.0,nan
flow_2_220,1981.0,nan
flow_2_221,1990.0,nan
flow_1_221,1990.0,nan
flow_3_221,1990.0,nan
flow_0_221,1990.0,nan
flow_0_222,1999.0,nan
flow_2_222,1999.0,nan
flow_1_222,1999.0,nan
flow_3_222,1999.0,nan
flow_0_223,2008.0,nan
flow_1_223,2008.0,nan
flow_3_223,2008.0,nan
flow_2_223,2008.0,nan
flow_1_224,2017.0,nan
flow_2_224,2017.0,nan
flow_3_224,2017.0,nan
flow_0_224,2017.0,nan
flow_0_225,2026.0,nan
flow_1_225,2026.0,nan
flow_3_225,2026.0,nan
flow_2_225,2026.0,nan
flow_2_226,2035.0,nan
flow_1_226,2035.0,nan
flow_0_226,2035.0,nan
flow_3_226,2035.0,nan
flow_1_227,2044.0,nan
flow_2_227,2044.0,nan
flow_3_227,2044.0,nan
flow_0_227,2044.0,nan
flow_0_228,2053.0,nan
flow_1_228,2053.0,nan
flow_2_228,2053.0,nan
flow_3_228,2053.0,nan
flow_2_229,2062.0,nan
flow_0_229,2062.0,nan
flow_3_229,2062.0,nan
flow_1_229,2062.0,nan
flow_2_230,2071.0,nan
flow_0_230,2071.0,nan
flow_1_230,2071.0,nan
flow_3_230,2071.0,nan
flow_2_231,2080.0,nan
flow_0_231,2080.0,nan
flow_3_231,2080.0,nan
flow_1_231,2080.0,nan
flow_0_232,2089.0,nan
flow_1_232,2089.0,nan
flow_2_232,2089.0,nan
flow_3_232,2089.0,nan
flow_3_233,2098.0,nan
flow_0_233,2098.0,nan
flow_2_233,2098.0,nan
flow_1_233,2098.0,nan
flow_1_234,2107.0,nan
flow_2_234,2107.0,nan
flow_3_234,2107.0,nan
flow_0_234,2107.0,nan
flow_1_235,2116.0,nan
flow_3_235,2116.0,nan
flow_2_235,2116.0,nan
flow_0_235,2116.0,nan
flow_3_236,2125.0,nan
flow_2_236,2125.0,nan
flow_1_236,2125.0,nan
flow_0_236,2125.0,nan
flow_3_237,2134.0,nan
flow_2_237,2134.0,nan
flow_1_237,2134.0,nan
flow_0_237,2134.0,nan
flow_1_238,2143.0,nan
flow_3_238,2143.0,nan
flow_2_238,2143.0,nan
flow_0_238,2143.0,nan
flow_1_239,2152.0,nan
flow_2_239,2152.0,nan
